item,freq
李祎,1
宜芬公主,1
宋若华,1
宋若昭,1
宋若宪,1
萧妃,1
李昪,1
李从善,1
李从谦,1
李建,1
钱俶,1
王继鹏,1
裴璀,1
丘说,1
刘子玄,1
刘济,1
余延寿,1
崔融,1
鲍氏君徽,1
李彦暐,1
陈昭,1
张氏琰,1
程氏长文,1
张汯,1
刘元济,1
刘义,1
姚氏月华,1
刘阜,1
刘氏媛,1
薛耀,1
李季兰,1
刘元淑,1
卢弼,1
刘氏瑶,1
吉中孚妻,1
薛维翰,1
颜师古,1
于志宁,1
令狐德棻,1
封行高,1
刘洎,1
褚遂良,1
杨续,1
沈叔安,1
何仲宣,1
赵中虚,1
杨濬,1
萧德言,1
蔡允恭,1
杜之松,1
朱仲晦,1
王宏,1
朱子奢,1
张文收,1
毛明素,1
来济,1
薛元超,1
萧翼,1
阎立本,1
张大安,1
郭正一,1
胡元范,1
裴守真,1
王德真,1
郑义真,1
萧楚材,1
薛克构,1
徐珩,1
贺遂亮,1
韩思彦,1
魏求己,1
刘怀一,1
许天正,1
许圉师,1
郑惟忠,1
李福业,1
薛昚惑,1
贺敱,1
狄仁杰,1
崔涤,1
王勔,1
邵大震,1
辛常伯,1
田游岩,1
李夔,1
邵升,1
唐远悊,1
席元明,1
周彦昭,1
王茂时,1
徐皓,1
高绍,1
郎馀令,1
刘友贤,1
史俊,1
杨敬述,1
乔侃,1
张垍,1
魏奉古,1
富嘉谟,1
闾丘均,1
刘知几,1
丘悦,1
阴行先,1
王熊,1
梁知微,1
李伯鱼,1
杨重玄,1
朱使欣,1
袁恕己,1
刘幽求,1
章玄同,1
王易从,1
牛凤及,1
司马逸客,1
王绍宗,1
郑遂初,1
张楚金,1
房融,1
吕太一,1
郑蜀宾,1
宋务光,1
李行言,1
郭利贞,1
元希声,1
李澄之,1
李如璧,1
洪子舆,1
寇泚,1
吴兢,1
窦希玠,1
陆景初,1
郑南金,1
李咸,1
于经野,1
辛替否,1
王景,1
毕乾泰,1
麹瞻,1
樊忱,1
孙佺,1
李从远,1
周利用,1
张景源,1
李恒,1
刘升,1
韦抗,1
李暠,1
程行谌,1
褚琇,1
裴光庭,1
宇文融,1
崔沔,1
崔尚,1
房琯,1
崔禹锡,1
徐知仁,1
崔颂,1
孙翃,1
徐仁友,1
苏绾,1
康庭芝,1
卢崇道,1
蔡希周,1
史青,1
崔珪,1
厍狄履温,1
元载,1
张渐,1
梁升卿,1
吴巩,1
裴士淹,1
李元操,1
陶岘,1
赵骅,1
崔亘,1
杨颜,1
王岳灵,1
周万,1
张抃,1
闾丘晓,1
庾光先,1
杨志坚,1
孟彦深,1
乔琳,1
柳浑,1
杜俨,1
黄麟,1
郭向,1
王乔,1
程弥纶,1
荆冬倩,1
梁洽,1
郑绍,1
朱斌,1
梁德裕,1
常非月,1
张良璞,1
孙欣,1
王羡门,1
杨贲,1
李清,1
庄若讷,1
魏璀,1
王zr,1
窦冀,1
鲁收,1
朱逵,1
许瑶,1
贾邕,1
刘舟,1
长孙铸,1
房白,1
元晟,1
刘太冲,1
姚发,1
郑愕,1
殷少野,1
邬载,1
李岘,1
李穆,1
王迥,1
李晔2,1
敬括,1
高傪,1
李岑1,1
苏,1
袁邕,1
滕珦,1
郑虔,1
韦济,1
田澄,1
沈东美,1
息夫牧,1
宋华,1
邹象先,1
崔惠童,1
崔敏童,1
苗晋卿,1
贾躭,1
赵居贞,1
萧华,1
元友让,1
段怀然,1
张偁,1
陈孙,1
李峰,1
魏万,1
崔宗之,1
崔成甫,1
郭受,1
窦蒙,1
王绰,1
古之奇,1
李阳冰,1
韦元甫,1
王铤,1
潘炎,1
张叔良,1
吕牧,1
綦毋诚,1
于结,1
郑孺华,1
房孺复,1
杨郇伯,1
杜诵,1
郑昈,1
朱宿,1
崔琮,1
李竦,1
张惟俭,1
张莒,1
史延,1
韩濬,1
郑辕,1
王濯,1
独孤绶,1
仲子陵,1
周彻,1
高拯,1
独孤授,1
王储,1
畅诸,1
张濛,1
常沂,1
张昔,1
丁位,1
元友直,1
杨系,1
崔绩,1
张季略,1
裴达,1
裴逵,1
沈回,1
吉中孚,1
夏侯审,1
崔季卿,1
于尹躬,1
李子卿,1
贾弇,1
沈仲昌,1
杜奕,1
陈元初,1
郭郧,1
韦同则,1
李夷简,1
王观,1
崔瓘,1
朱彬,1
李彦远,1
范元凯,1
李深,1
羊滔,1
薛戎,1
谢勮,1
独孤良器,1
高崇文,1
罗珦,1
韦执中,1
邵真,1
何频瑜,1
骆浚,1
卢群,1
王智兴,1
袁高,1
张署,1
赵宗儒,1
张正一,1
徐放,1
独孤实,1
卢士政,1
于敖,1
皇甫镛,1
王履贞,1
陆复礼,1
李正辞,1
许尧佐,1
李君房,1
车缅,1
贾棱,1
刘遵古,1
韦纾,1
樊阳源,1
豆卢荣,1
邵偃,1
柳道伦,1
陈九流,1
夏方庆,1
张弘靖,1
韩察,1
崔恭,1
